SQ_CANDIDATO,NM_URNA_CANDIDATO,DS_CARGO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,patrimonio_total,qtd_bens,tipo_principal
40002541626,PROFESSORA MARIA DO CARMO,GOVERNADOR,PL,FEMININO,SUPERIOR COMPLETO,118473769.48,27,Outras participações societárias
40002531447,EDUARDO BRAGA,SENADOR,MDB,MASCULINO,SUPERIOR COMPLETO,60278559.1,81,"Aplicação de renda fixa (CDB, RDB e outros)"
40002542688,ALESSANDRO TONIZA,1º SUPLENTE,PL,MASCULINO,SUPERIOR COMPLETO,23440559.98,44,Outras aplicações e Investimentos
40002532780,DR SANDOVAL CHEIRO DO POVO,DEPUTADO ESTADUAL,PSD,MASCULINO,SUPERIOR COMPLETO,23246824.33,17,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002541745,ADJUTO AFONSO,DEPUTADO ESTADUAL,UNIÃO,MASCULINO,SUPERIOR COMPLETO,10543969.52,27,"Aplicação de renda fixa (CDB, RDB e outros)"
40002542954,MANOEL CUNHA,DEPUTADO ESTADUAL,PL,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,8268301.98,5,Prédio comercial
40002532744,SERGIO NUNES,DEPUTADO ESTADUAL,MDB,MASCULINO,SUPERIOR COMPLETO,8154000.0,2,Terreno
40002532749,SIMÃO PEIXOTO,DEPUTADO ESTADUAL,MDB,MASCULINO,SUPERIOR INCOMPLETO,7205806.14,11,Casa
40002531448,SANDRA BRAGA,1º SUPLENTE,MDB,FEMININO,SUPERIOR COMPLETO,6435906.76,17,"Aplicação de renda fixa (CDB, RDB e outros)"
40002536433,CORONEL MENEZES,DEPUTADO FEDERAL,AVANTE,MASCULINO,SUPERIOR COMPLETO,5131698.2299999995,10,"Aplicação de renda fixa (CDB, RDB e outros)"
40002532791,ROZENHA,DEPUTADO ESTADUAL,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,4865378.82,15,OUTROS BENS E DIREITOS
40002541741,ROBERTO CIDADE,GOVERNADOR,UNIÃO,MASCULINO,SUPERIOR COMPLETO,4285400.8,12,Terreno
40002540481,ALFREDO NASCIMENTO,DEPUTADO FEDERAL,PL,MASCULINO,SUPERIOR COMPLETO,4190447.38,13,Outras aplicações e Investimentos
40002536488,TONY MEDEIROS,DEPUTADO ESTADUAL,AGIR,MASCULINO,SUPERIOR COMPLETO,4045908.68,11,Terreno
40002537346,JOÃO ROBERTO,DEPUTADO ESTADUAL,AVANTE,MASCULINO,SUPERIOR COMPLETO,3828095.0,6,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002534877,CAILA CARIM,DEPUTADO FEDERAL,MDB,FEMININO,ENSINO MÉDIO COMPLETO,3800000.0,2,Quotas ou quinhões de capital
40002542966,LUCIANA FRANÇA,DEPUTADO ESTADUAL,PL,FEMININO,SUPERIOR COMPLETO,3720895.63,12,"Aplicação de renda fixa (CDB, RDB e outros)"
40002531440,JESUS ALVES,DEPUTADO FEDERAL,MDB,MASCULINO,SUPERIOR COMPLETO,3708000.0,5,Quotas ou quinhões de capital
40002541613,PAULO PP,DEPUTADO ESTADUAL,PODE,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,3546644.12,17,Quotas ou quinhões de capital
40002537344,PLINIO VALÉRIO,SENADOR,PSDB,MASCULINO,SUPERIOR COMPLETO,3527132.51,23,Terreno
40002542657,VIVIAN AMORIM,DEPUTADO ESTADUAL,UNIÃO,FEMININO,SUPERIOR COMPLETO,3442024.56,9,"Aplicação de renda fixa (CDB, RDB e outros)"
40002542670,FAUSTO JR,DEPUTADO FEDERAL,UNIÃO,MASCULINO,SUPERIOR COMPLETO,3400000.0,4,Quotas ou quinhões de capital
40002541593,FELIPE SOUZA,DEPUTADO ESTADUAL,PODE,MASCULINO,SUPERIOR COMPLETO,3393364.95,16,"Aplicação de renda fixa (CDB, RDB e outros)"
40002533210,MASSAMI MIKI,DEPUTADO FEDERAL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,3391527.65,18,"Aplicação de renda fixa (CDB, RDB e outros)"
40002532735,CORONEL WILSON MARQUES,DEPUTADO ESTADUAL,MDB,MASCULINO,SUPERIOR COMPLETO,3287000.0,3,Casa
40002532763,ATILA LINS,DEPUTADO FEDERAL,PSD,MASCULINO,SUPERIOR COMPLETO,3194270.92,8,Apartamento
40002542662,CEARAZIN SEMISERA,DEPUTADO ESTADUAL,PP,MASCULINO,SUPERIOR COMPLETO,3171252.48,6,Depósito bancário em conta corrente no País
40002542674,TADEU DE SOUZA,DEPUTADO FEDERAL,PP,MASCULINO,SUPERIOR COMPLETO,3099441.34,26,"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado"
40002534377,RODRIGO GUEDES,DEPUTADO ESTADUAL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,3091617.64,17,Outras aplicações e Investimentos
40002542663,PROFESSORA JACQUELINE,DEPUTADO ESTADUAL,UNIÃO,FEMININO,SUPERIOR COMPLETO,3027257.71,13,Outras aplicações e Investimentos
40002541616,YOMARA LINS,DEPUTADO ESTADUAL,PODE,FEMININO,SUPERIOR COMPLETO,3012978.0,3,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002541747,WANDERLEY MONTEIRO,DEPUTADO ESTADUAL,UNIÃO,MASCULINO,SUPERIOR COMPLETO,2926172.37,5,Casa
40002546984,HUDSON JORGE,DEPUTADO ESTADUAL,PDT,MASCULINO,SUPERIOR COMPLETO,2883000.0,11,Outros bens imóveis
40002532789,DELEGADO  AYSLAN MARQUES,DEPUTADO ESTADUAL,PSD,MASCULINO,SUPERIOR COMPLETO,2871742.85,21,Casa
40002532762,PAUDERNEY,DEPUTADO FEDERAL,PSD,MASCULINO,SUPERIOR COMPLETO,2860407.1300000004,22,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002531446,MIGUEL BIANGO,2º SUPLENTE,MDB,MASCULINO,SUPERIOR COMPLETO,2638383.0,27,Ações (inclusive as provenientes de linha telefônica)
40002542671,PROFESSORA THEREZINHA RUIZ,DEPUTADO FEDERAL,UNIÃO,FEMININO,SUPERIOR COMPLETO,2469000.0,10,Apartamento
40002542653,RODRIGO SÁ,DEPUTADO ESTADUAL,PP,MASCULINO,SUPERIOR COMPLETO,2436476.2,11,Depósito bancário em conta corrente no País
40002532767,WILKER BARRETO,DEPUTADO ESTADUAL,PSD,MASCULINO,SUPERIOR COMPLETO,2404011.5500000003,14,Depósito bancário em conta corrente no País
40002532734,CRISTIANO DANGELO,DEPUTADO ESTADUAL,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,2363917.36,13,Terreno
40002545595,DELEGADO TAYAH,DEPUTADO FEDERAL,PT,MASCULINO,SUPERIOR COMPLETO,2269704.33,8,Apartamento
40002542659,FREDERICO JUNIOR,DEPUTADO ESTADUAL,UNIÃO,MASCULINO,LÊ E ESCREVE,2253137.38,6,Casa
40002540480,SARGENTO SALAZAR,DEPUTADO FEDERAL,PL,MASCULINO,SUPERIOR COMPLETO,2206000.0,6,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002536496,MARCELO PALHANO,DEPUTADO ESTADUAL,AGIR,MASCULINO,SUPERIOR COMPLETO,2203258.11,9,Aeronave
40002532272,OMAR AZIZ,GOVERNADOR,PSD,MASCULINO,SUPERIOR COMPLETO,2070608.0,5,Outras aplicações e Investimentos
40002531445,ADAIL FILHO,DEPUTADO FEDERAL,MDB,MASCULINO,SUPERIOR COMPLETO,2037584.07,5,"Aplicação de renda fixa (CDB, RDB e outros)"
40002536474,MACKI SOARES,DEPUTADO ESTADUAL,AGIR,MASCULINO,ENSINO MÉDIO COMPLETO,2000000.0,1,Quotas ou quinhões de capital
40002541749,DR. GEORGE LINS,DEPUTADO ESTADUAL,UNIÃO,MASCULINO,SUPERIOR COMPLETO,1993656.8599999999,10,Depósito bancário em conta corrente no País
40002542968,CABO MACIEL,DEPUTADO ESTADUAL,PL,MASCULINO,ENSINO MÉDIO COMPLETO,1948505.65,8,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002546980,OTACÍLIO NEGREIROS,DEPUTADO ESTADUAL,PDT,MASCULINO,SUPERIOR COMPLETO,1926491.27,13,Outros bens imóveis
40002545612,PROFESSOR SINÉSIO,DEPUTADO ESTADUAL,PT,MASCULINO,SUPERIOR COMPLETO,1854564.6099999999,8,Terreno
40002537347,DELEGADO PAULO MAVIGNIER,DEPUTADO ESTADUAL,AVANTE,MASCULINO,SUPERIOR COMPLETO,1850509.4700000002,7,Outros bens móveis
40002542965,DELEGADO PÉRICLES,DEPUTADO ESTADUAL,PL,MASCULINO,SUPERIOR COMPLETO,1843760.13,11,"Aplicação de renda fixa (CDB, RDB e outros)"
40002540485,DELEGADO COSTA E SILVA,DEPUTADO FEDERAL,PL,MASCULINO,SUPERIOR COMPLETO,1812055.0,7,"Aplicação de renda fixa (CDB, RDB e outros)"
40002534382,COMANDANTE DAN,DEPUTADO ESTADUAL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,1810346.62,4,Apartamento
40002542953,SIPA GENTE DA GENTE,DEPUTADO ESTADUAL,PL,MASCULINO,SUPERIOR COMPLETO,1785000.0,7,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002545608,ROMILDO PIMENTEL,DEPUTADO ESTADUAL,PT,MASCULINO,ENSINO MÉDIO COMPLETO,1750000.0,2,Apartamento
40002533204,HISSA ABRAHÃO,DEPUTADO FEDERAL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,1732682.75,5,Apartamento
40002536434,RADYR JUNIOR,DEPUTADO FEDERAL,AVANTE,MASCULINO,SUPERIOR INCOMPLETO,1718000.0,5,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002537618,JUNIOR MAR,DEPUTADO ESTADUAL,AVANTE,MASCULINO,SUPERIOR COMPLETO,1707000.0,4,Casa
40002536438,DRA. EUNICE NASCIMENTO,DEPUTADO FEDERAL,AVANTE,FEMININO,SUPERIOR COMPLETO,1675856.25,11,"Aplicação de renda fixa (CDB, RDB e outros)"
40002541622,MELYSSA GEBER,DEPUTADO FEDERAL,PSB,FEMININO,SUPERIOR COMPLETO,1670000.0,3,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
40002551311,DANIELLE BARÉ,DEPUTADO ESTADUAL,REDE,FEMININO,SUPERIOR COMPLETO,1657000.0,3,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
